"";"TRIMESTRE";"TXCHOMAGE";"IDBANK";"AGE"
"342";1981-07-01;4;"001688530";"50 ans et plus"
"343";1981-04-01;3,9;"001688530";"50 ans et plus"
"344";1981-01-01;3,8;"001688530";"50 ans et plus"
"345";1980-10-01;3,7;"001688530";"50 ans et plus"
"346";1980-07-01;3,6;"001688530";"50 ans et plus"
"347";1980-04-01;3,5;"001688530";"50 ans et plus"
"348";1980-01-01;3,5;"001688530";"50 ans et plus"
"349";1979-10-01;3,4;"001688530";"50 ans et plus"
"350";1979-07-01;3,3;"001688530";"50 ans et plus"
"351";1979-04-01;3,2;"001688530";"50 ans et plus"
"352";1979-01-01;3,1;"001688530";"50 ans et plus"
"353";1978-10-01;3;"001688530";"50 ans et plus"
"354";1978-07-01;2,8;"001688530";"50 ans et plus"
"355";1978-04-01;2,7;"001688530";"50 ans et plus"
"356";1978-01-01;2,7;"001688530";"50 ans et plus"
"357";1977-10-01;2,7;"001688530";"50 ans et plus"
"358";1977-07-01;2,7;"001688530";"50 ans et plus"
"359";1977-04-01;2,7;"001688530";"50 ans et plus"
"360";1977-01-01;2,6;"001688530";"50 ans et plus"
"361";1976-10-01;2,4;"001688530";"50 ans et plus"
"362";1976-07-01;2,4;"001688530";"50 ans et plus"
"363";1976-04-01;2,3;"001688530";"50 ans et plus"
"364";1976-01-01;2,3;"001688530";"50 ans et plus"
"365";1975-10-01;2,2;"001688530";"50 ans et plus"
"366";1975-07-01;2,1;"001688530";"50 ans et plus"
"367";1975-04-01;2;"001688530";"50 ans et plus"
"368";1975-01-01;1,8;"001688530";"50 ans et plus"
"369";2020-10-01;18;"001688536";"15-24 ans"
"370";2020-07-01;21,5;"001688536";"15-24 ans"
"371";2020-04-01;20,6;"001688536";"15-24 ans"
"372";2020-01-01;18,7;"001688536";"15-24 ans"
"373";2019-10-01;19,3;"001688536";"15-24 ans"
"374";2019-07-01;18,7;"001688536";"15-24 ans"
